Company_Name,ESG_Score,Risk_Category
GreenTech_00163_Ltd,55,High
GreenTech_00164_Ltd,77,Medium
GreenTech_00165_Ltd,77,Medium
GreenTech_00166_Ltd,93,Low
GreenTech_00167_Ltd,93,Low
GreenTech_00168_Ltd,69,Medium
GreenTech_00169_Ltd,79,Medium
GreenTech_00170_Ltd,60,High
GreenTech_00171_Ltd,77,Medium
GreenTech_00172_Ltd,74,Medium
GreenTech_00173_Ltd,88,Low
GreenTech_00174_Ltd,82,Low
GreenTech_00175_Ltd,50,High
GreenTech_00176_Ltd,76,Medium
GreenTech_00177_Ltd,62,High
GreenTech_00178_Ltd,90,Low
GreenTech_00179_Ltd,52,High
GreenTech_00180_Ltd,88,Low
GreenTech_00181_Ltd,55,High
GreenTech_00182_Ltd,57,High
GreenTech_00183_Ltd,76,Medium
GreenTech_00184_Ltd,58,High
GreenTech_00185_Ltd,86,Low
GreenTech_00186_Ltd,82,Low
GreenTech_00187_Ltd,91,Low
GreenTech_00188_Ltd,93,Low
GreenTech_00189_Ltd,73,Medium
GreenTech_00190_Ltd,64,High
GreenTech_00191_Ltd,81,Low
GreenTech_00192_Ltd,81,Low
GreenTech_00193_Ltd,73,Medium
GreenTech_00194_Ltd,90,Low
GreenTech_00195_Ltd,61,High
GreenTech_00196_Ltd,88,Low
GreenTech_00197_Ltd,51,High
GreenTech_00198_Ltd,52,High
GreenTech_00199_Ltd,86,Low
GreenTech_00200_Ltd,66,Medium
GreenTech_00201_Ltd,51,High
GreenTech_00202_Ltd,51,High
GreenTech_00203_Ltd,77,Medium
GreenTech_00204_Ltd,72,Medium
GreenTech_00205_Ltd,86,Low
GreenTech_00206_Ltd,81,Low
GreenTech_00207_Ltd,82,Low
GreenTech_00208_Ltd,50,High
GreenTech_00209_Ltd,68,Medium
GreenTech_00210_Ltd,51,High
GreenTech_00211_Ltd,93,Low
GreenTech_00212_Ltd,75,Medium
GreenTech_00213_Ltd,81,Low
GreenTech_00214_Ltd,55,High
GreenTech_00215_Ltd,81,Low
GreenTech_00216_Ltd,53,High
GreenTech_00217_Ltd,60,High
GreenTech_00218_Ltd,66,Medium
GreenTech_00219_Ltd,87,Low
GreenTech_00220_Ltd,73,Medium
GreenTech_00221_Ltd,54,High
GreenTech_00222_Ltd,83,Low
GreenTech_00223_Ltd,55,High
GreenTech_00224_Ltd,71,Medium
GreenTech_00225_Ltd,60,High
GreenTech_00226_Ltd,65,High
GreenTech_00227_Ltd,82,Low
GreenTech_00228_Ltd,58,High
GreenTech_00229_Ltd,55,High
GreenTech_00230_Ltd,65,High
GreenTech_00231_Ltd,78,Medium
GreenTech_00232_Ltd,52,High
GreenTech_00233_Ltd,69,Medium
GreenTech_00234_Ltd,85,Low
GreenTech_00235_Ltd,68,Medium
GreenTech_00236_Ltd,75,Medium
GreenTech_00237_Ltd,52,High
GreenTech_00238_Ltd,68,Medium
GreenTech_00239_Ltd,69,Medium
GreenTech_00240_Ltd,81,Low
GreenTech_00241_Ltd,56,High
GreenTech_00242_Ltd,90,Low
GreenTech_00243_Ltd,82,Low
GreenTech_00244_Ltd,89,Low
GreenTech_00245_Ltd,88,Low
GreenTech_00246_Ltd,67,Medium
GreenTech_00247_Ltd,89,Low
GreenTech_00248_Ltd,50,High
GreenTech_00249_Ltd,60,High
GreenTech_00250_Ltd,77,Medium
GreenTech_00251_Ltd,74,Medium
GreenTech_00252_Ltd,72,Medium
GreenTech_00253_Ltd,80,Medium
GreenTech_00254_Ltd,79,Medium
GreenTech_00255_Ltd,91,Low
GreenTech_00256_Ltd,84,Low
GreenTech_00257_Ltd,56,High
GreenTech_00258_Ltd,65,High
GreenTech_00259_Ltd,75,Medium
GreenTech_00260_Ltd,51,High
GreenTech_00261_Ltd,50,High
GreenTech_00262_Ltd,61,High
GreenTech_00263_Ltd,54,High
GreenTech_00264_Ltd,86,Low
GreenTech_00265_Ltd,81,Low
GreenTech_00266_Ltd,58,High
GreenTech_00267_Ltd,90,Low
GreenTech_00268_Ltd,84,Low
GreenTech_00269_Ltd,68,Medium
GreenTech_00270_Ltd,65,High
GreenTech_00271_Ltd,52,High
GreenTech_00272_Ltd,69,Medium
GreenTech_00273_Ltd,73,Medium
GreenTech_00274_Ltd,82,Low
GreenTech_00275_Ltd,73,Medium
GreenTech_00276_Ltd,60,High
GreenTech_00277_Ltd,57,High
GreenTech_00278_Ltd,85,Low
GreenTech_00279_Ltd,87,Low
GreenTech_00280_Ltd,89,Low
GreenTech_00281_Ltd,69,Medium
GreenTech_00282_Ltd,84,Low
GreenTech_00283_Ltd,74,Medium
GreenTech_00284_Ltd,84,Low
GreenTech_00285_Ltd,74,Medium
GreenTech_00286_Ltd,78,Medium
GreenTech_00287_Ltd,67,Medium
GreenTech_00288_Ltd,67,Medium
GreenTech_00289_Ltd,51,High
GreenTech_00290_Ltd,84,Low
GreenTech_00291_Ltd,65,High
GreenTech_00292_Ltd,90,Low
GreenTech_00293_Ltd,85,Low
GreenTech_00294_Ltd,82,Low
GreenTech_00295_Ltd,53,High
GreenTech_00296_Ltd,82,Low
GreenTech_00297_Ltd,63,High
GreenTech_00298_Ltd,70,Medium
GreenTech_00299_Ltd,69,Medium
GreenTech_00300_Ltd,57,High
GreenTech_00301_Ltd,56,High
GreenTech_00302_Ltd,52,High
GreenTech_00303_Ltd,66,Medium
GreenTech_00304_Ltd,82,Low
GreenTech_00305_Ltd,61,High
GreenTech_00306_Ltd,71,Medium
GreenTech_00307_Ltd,71,Medium
GreenTech_00308_Ltd,79,Medium
GreenTech_00309_Ltd,87,Low
GreenTech_00310_Ltd,87,Low
GreenTech_00311_Ltd,94,Low
GreenTech_00312_Ltd,57,High
GreenTech_00313_Ltd,76,Medium
GreenTech_00314_Ltd,76,Medium
GreenTech_00315_Ltd,83,Low
GreenTech_00316_Ltd,70,Medium
GreenTech_00317_Ltd,79,Medium
GreenTech_00318_Ltd,82,Low
GreenTech_00319_Ltd,77,Medium
GreenTech_00320_Ltd,82,Low
GreenTech_00321_Ltd,54,High
GreenTech_00322_Ltd,68,Medium
GreenTech_00323_Ltd,53,High
GreenTech_00324_Ltd,84,Low
GreenTech_00325_Ltd,66,Medium
GreenTech_00326_Ltd,93,Low
GreenTech_00327_Ltd,77,Medium
GreenTech_00328_Ltd,79,Medium
GreenTech_00329_Ltd,78,Medium
GreenTech_00330_Ltd,55,High
GreenTech_00331_Ltd,84,Low
GreenTech_00332_Ltd,90,Low
GreenTech_00333_Ltd,86,Low
GreenTech_00334_Ltd,73,Medium
GreenTech_00335_Ltd,78,Medium
GreenTech_00336_Ltd,80,Medium
GreenTech_00337_Ltd,84,Low
GreenTech_00338_Ltd,82,Low
GreenTech_00339_Ltd,70,Medium
GreenTech_00340_Ltd,81,Low
GreenTech_00341_Ltd,72,Medium
GreenTech_00342_Ltd,82,Low
GreenTech_00343_Ltd,52,High
GreenTech_00344_Ltd,67,Medium
GreenTech_00345_Ltd,74,Medium
GreenTech_00346_Ltd,91,Low
GreenTech_00347_Ltd,80,Medium
GreenTech_00348_Ltd,52,High
GreenTech_00349_Ltd,89,Low
GreenTech_00350_Ltd,73,Medium
GreenTech_00351_Ltd,81,Low
GreenTech_00352_Ltd,71,Medium
GreenTech_00353_Ltd,72,Medium
GreenTech_00354_Ltd,51,High
GreenTech_00355_Ltd,76,Medium
GreenTech_00356_Ltd,91,Low
GreenTech_00357_Ltd,51,High
GreenTech_00358_Ltd,75,Medium
GreenTech_00359_Ltd,66,Medium
GreenTech_00360_Ltd,89,Low
GreenTech_00361_Ltd,82,Low
GreenTech_00362_Ltd,58,High
GreenTech_00363_Ltd,92,Low
GreenTech_00364_Ltd,88,Low
GreenTech_00365_Ltd,78,Medium
GreenTech_00366_Ltd,91,Low
GreenTech_00367_Ltd,75,Medium
GreenTech_00368_Ltd,84,Low
GreenTech_00369_Ltd,74,Medium
GreenTech_00370_Ltd,73,Medium
GreenTech_00371_Ltd,62,High
GreenTech_00372_Ltd,56,High
GreenTech_00373_Ltd,85,Low
GreenTech_00374_Ltd,94,Low
GreenTech_00375_Ltd,69,Medium
GreenTech_00376_Ltd,50,High
GreenTech_00377_Ltd,57,High
GreenTech_00378_Ltd,65,High
GreenTech_00379_Ltd,63,High
GreenTech_00380_Ltd,61,High
GreenTech_00381_Ltd,72,Medium
GreenTech_00382_Ltd,64,High
GreenTech_00383_Ltd,77,Medium
GreenTech_00384_Ltd,83,Low
GreenTech_00385_Ltd,51,High
GreenTech_00386_Ltd,81,Low
GreenTech_00387_Ltd,72,Medium
GreenTech_00388_Ltd,71,Medium
GreenTech_00389_Ltd,74,Medium
GreenTech_00390_Ltd,71,Medium
GreenTech_00391_Ltd,71,Medium
GreenTech_00392_Ltd,91,Low
GreenTech_00393_Ltd,55,High
GreenTech_00394_Ltd,64,High
GreenTech_00395_Ltd,92,Low
GreenTech_00396_Ltd,86,Low
GreenTech_00397_Ltd,82,Low
GreenTech_00398_Ltd,57,High
GreenTech_00399_Ltd,93,Low
GreenTech_00400_Ltd,93,Low
GreenTech_00401_Ltd,54,High
GreenTech_00402_Ltd,88,Low
GreenTech_00403_Ltd,53,High
GreenTech_00404_Ltd,55,High
GreenTech_00405_Ltd,94,Low
GreenTech_00406_Ltd,81,Low
GreenTech_00407_Ltd,79,Medium
GreenTech_00408_Ltd,84,Low
GreenTech_00409_Ltd,89,Low
GreenTech_00410_Ltd,65,High
GreenTech_00411_Ltd,62,High
GreenTech_00412_Ltd,91,Low
GreenTech_00413_Ltd,79,Medium
GreenTech_00414_Ltd,68,Medium
GreenTech_00415_Ltd,66,Medium
GreenTech_00416_Ltd,68,Medium
GreenTech_00417_Ltd,77,Medium
GreenTech_00418_Ltd,75,Medium
GreenTech_00419_Ltd,86,Low
GreenTech_00420_Ltd,75,Medium
GreenTech_00421_Ltd,72,Medium
GreenTech_00422_Ltd,58,High
GreenTech_00423_Ltd,61,High
GreenTech_00424_Ltd,50,High
GreenTech_00425_Ltd,50,High
GreenTech_00426_Ltd,83,Low
GreenTech_00427_Ltd,81,Low
GreenTech_00428_Ltd,74,Medium
GreenTech_00429_Ltd,89,Low
GreenTech_00430_Ltd,94,Low
GreenTech_00431_Ltd,50,High
GreenTech_00432_Ltd,65,High
GreenTech_00433_Ltd,88,Low
GreenTech_00434_Ltd,54,High
GreenTech_00435_Ltd,71,Medium
GreenTech_00436_Ltd,78,Medium
GreenTech_00437_Ltd,52,High
GreenTech_00438_Ltd,61,High
GreenTech_00439_Ltd,75,Medium
GreenTech_00440_Ltd,65,High
GreenTech_00441_Ltd,86,Low
GreenTech_00442_Ltd,71,Medium
GreenTech_00443_Ltd,78,Medium
GreenTech_00444_Ltd,63,High
GreenTech_00445_Ltd,77,Medium
GreenTech_00446_Ltd,54,High
GreenTech_00447_Ltd,79,Medium
GreenTech_00448_Ltd,54,High
GreenTech_00449_Ltd,61,High
GreenTech_00450_Ltd,65,High
GreenTech_00451_Ltd,75,Medium
GreenTech_00452_Ltd,75,Medium
GreenTech_00453_Ltd,70,Medium
GreenTech_00454_Ltd,88,Low
GreenTech_00455_Ltd,85,Low
GreenTech_00456_Ltd,82,Low
GreenTech_00457_Ltd,79,Medium
GreenTech_00458_Ltd,86,Low
GreenTech_00459_Ltd,72,Medium
GreenTech_00460_Ltd,59,High
GreenTech_00461_Ltd,54,High
GreenTech_00462_Ltd,85,Low
GreenTech_00463_Ltd,83,Low
GreenTech_00464_Ltd,80,Medium
GreenTech_00465_Ltd,59,High
GreenTech_00466_Ltd,68,Medium
GreenTech_00467_Ltd,81,Low
GreenTech_00468_Ltd,50,High
GreenTech_00469_Ltd,54,High
GreenTech_00470_Ltd,94,Low
GreenTech_00471_Ltd,53,High
GreenTech_00472_Ltd,65,High
GreenTech_00473_Ltd,73,Medium
GreenTech_00474_Ltd,65,High
GreenTech_00475_Ltd,51,High
GreenTech_00476_Ltd,77,Medium
GreenTech_00477_Ltd,81,Low
GreenTech_00478_Ltd,76,Medium
GreenTech_00479_Ltd,69,Medium
GreenTech_00480_Ltd,73,Medium
GreenTech_00481_Ltd,61,High
GreenTech_00482_Ltd,84,Low
GreenTech_00483_Ltd,82,Low
GreenTech_00484_Ltd,82,Low
GreenTech_00485_Ltd,92,Low
GreenTech_00486_Ltd,86,Low
GreenTech_00487_Ltd,61,High
GreenTech_00488_Ltd,52,High
GreenTech_00489_Ltd,50,High
GreenTech_00490_Ltd,82,Low
GreenTech_00491_Ltd,89,Low
GreenTech_00492_Ltd,59,High
GreenTech_00493_Ltd,92,Low
GreenTech_00494_Ltd,93,Low
GreenTech_00495_Ltd,78,Medium
GreenTech_00496_Ltd,62,High
GreenTech_00497_Ltd,61,High
GreenTech_00498_Ltd,80,Medium
GreenTech_00499_Ltd,51,High
GreenTech_00500_Ltd,84,Low
GreenTech_00501_Ltd,72,Medium
GreenTech_00502_Ltd,66,Medium
GreenTech_00503_Ltd,75,Medium
GreenTech_00504_Ltd,57,High
GreenTech_00505_Ltd,78,Medium
GreenTech_00506_Ltd,75,Medium
GreenTech_00507_Ltd,59,High
GreenTech_00508_Ltd,75,Medium
GreenTech_00509_Ltd,83,Low
GreenTech_00510_Ltd,90,Low
GreenTech_00511_Ltd,56,High
GreenTech_00512_Ltd,53,High
GreenTech_00513_Ltd,94,Low
GreenTech_00514_Ltd,60,High
GreenTech_00515_Ltd,78,Medium
GreenTech_00516_Ltd,85,Low
GreenTech_00517_Ltd,74,Medium
GreenTech_00518_Ltd,70,Medium
GreenTech_00519_Ltd,85,Low
GreenTech_00520_Ltd,59,High
GreenTech_00521_Ltd,86,Low
GreenTech_00522_Ltd,58,High
GreenTech_00523_Ltd,73,Medium
GreenTech_00524_Ltd,84,Low
GreenTech_00525_Ltd,84,Low
GreenTech_00526_Ltd,85,Low
GreenTech_00527_Ltd,67,Medium
GreenTech_00528_Ltd,88,Low
GreenTech_00529_Ltd,81,Low
GreenTech_00530_Ltd,73,Medium
GreenTech_00531_Ltd,72,Medium
GreenTech_00532_Ltd,81,Low
GreenTech_00533_Ltd,86,Low
GreenTech_00534_Ltd,61,High
GreenTech_00535_Ltd,62,High
GreenTech_00536_Ltd,72,Medium
GreenTech_00537_Ltd,74,Medium
GreenTech_00538_Ltd,84,Low
GreenTech_00539_Ltd,90,Low
GreenTech_00540_Ltd,79,Medium
GreenTech_00541_Ltd,66,Medium
GreenTech_00542_Ltd,69,Medium
GreenTech_00543_Ltd,74,Medium
GreenTech_00544_Ltd,71,Medium
GreenTech_00545_Ltd,62,High
GreenTech_00546_Ltd,68,Medium
GreenTech_00547_Ltd,85,Low
GreenTech_00548_Ltd,61,High
GreenTech_00549_Ltd,90,Low
GreenTech_00550_Ltd,68,Medium
GreenTech_00551_Ltd,61,High
GreenTech_00552_Ltd,58,High
GreenTech_00553_Ltd,56,High
GreenTech_00554_Ltd,77,Medium
GreenTech_00555_Ltd,63,High
GreenTech_00556_Ltd,80,Medium
GreenTech_00557_Ltd,68,Medium
GreenTech_00558_Ltd,65,High
GreenTech_00559_Ltd,54,High
GreenTech_00560_Ltd,84,Low
GreenTech_00561_Ltd,61,High
GreenTech_00562_Ltd,74,Medium
GreenTech_00563_Ltd,70,Medium
GreenTech_00564_Ltd,85,Low
GreenTech_00565_Ltd,72,Medium
GreenTech_00566_Ltd,65,High
GreenTech_00567_Ltd,88,Low
GreenTech_00568_Ltd,94,Low
GreenTech_00569_Ltd,91,Low
GreenTech_00570_Ltd,88,Low
GreenTech_00571_Ltd,63,High
GreenTech_00572_Ltd,80,Medium
GreenTech_00573_Ltd,54,High
GreenTech_00574_Ltd,84,Low
GreenTech_00575_Ltd,72,Medium
GreenTech_00576_Ltd,78,Medium
GreenTech_00577_Ltd,92,Low
GreenTech_00578_Ltd,60,High
GreenTech_00579_Ltd,67,Medium
GreenTech_00580_Ltd,61,High
GreenTech_00581_Ltd,58,High
GreenTech_00582_Ltd,59,High
GreenTech_00583_Ltd,93,Low
GreenTech_00584_Ltd,66,Medium
GreenTech_00585_Ltd,87,Low
GreenTech_00586_Ltd,56,High
GreenTech_00587_Ltd,62,High
GreenTech_00588_Ltd,89,Low
GreenTech_00589_Ltd,91,Low
GreenTech_00590_Ltd,58,High
GreenTech_00591_Ltd,76,Medium
GreenTech_00592_Ltd,51,High
GreenTech_00593_Ltd,54,High
GreenTech_00594_Ltd,78,Medium
GreenTech_00595_Ltd,86,Low
GreenTech_00596_Ltd,87,Low
GreenTech_00597_Ltd,68,Medium
GreenTech_00598_Ltd,57,High
GreenTech_00599_Ltd,94,Low
GreenTech_00600_Ltd,50,High
GreenTech_00601_Ltd,71,Medium
GreenTech_00602_Ltd,66,Medium
GreenTech_00603_Ltd,56,High
GreenTech_00604_Ltd,74,Medium
GreenTech_00605_Ltd,94,Low
GreenTech_00606_Ltd,53,High
GreenTech_00607_Ltd,85,Low
GreenTech_00608_Ltd,55,High
GreenTech_00609_Ltd,80,Medium
GreenTech_00610_Ltd,68,Medium
GreenTech_00611_Ltd,93,Low
GreenTech_00612_Ltd,88,Low
GreenTech_00613_Ltd,76,Medium
GreenTech_00614_Ltd,59,High
GreenTech_00615_Ltd,75,Medium
GreenTech_00616_Ltd,68,Medium
GreenTech_00617_Ltd,88,Low
GreenTech_00618_Ltd,52,High
GreenTech_00619_Ltd,94,Low
GreenTech_00620_Ltd,62,High
GreenTech_00621_Ltd,77,Medium
GreenTech_00622_Ltd,69,Medium
GreenTech_00623_Ltd,77,Medium
GreenTech_00624_Ltd,57,High
GreenTech_00625_Ltd,90,Low
GreenTech_00626_Ltd,88,Low
GreenTech_00627_Ltd,50,High
GreenTech_00628_Ltd,52,High
GreenTech_00629_Ltd,62,High
GreenTech_00630_Ltd,77,Medium
GreenTech_00631_Ltd,74,Medium
GreenTech_00632_Ltd,82,Low
GreenTech_00633_Ltd,87,Low
GreenTech_00634_Ltd,55,High
GreenTech_00635_Ltd,93,Low
GreenTech_00636_Ltd,94,Low
GreenTech_00637_Ltd,81,Low
GreenTech_00638_Ltd,94,Low
GreenTech_00639_Ltd,70,Medium
GreenTech_00640_Ltd,65,High
GreenTech_00641_Ltd,70,Medium
GreenTech_00642_Ltd,60,High
GreenTech_00643_Ltd,86,Low
GreenTech_00644_Ltd,85,Low
GreenTech_00645_Ltd,84,Low
GreenTech_00646_Ltd,68,Medium
GreenTech_00647_Ltd,69,Medium
GreenTech_00648_Ltd,67,Medium
GreenTech_00649_Ltd,90,Low
GreenTech_00650_Ltd,63,High
GreenTech_00651_Ltd,64,High
GreenTech_00652_Ltd,80,Medium
GreenTech_00653_Ltd,50,High
GreenTech_00654_Ltd,52,High
GreenTech_00655_Ltd,65,High
GreenTech_00656_Ltd,72,Medium
GreenTech_00657_Ltd,60,High
GreenTech_00658_Ltd,61,High
GreenTech_00659_Ltd,59,High
GreenTech_00660_Ltd,81,Low
GreenTech_00661_Ltd,65,High
GreenTech_00662_Ltd,57,High
GreenTech_00663_Ltd,87,Low
GreenTech_00664_Ltd,61,High
GreenTech_00665_Ltd,73,Medium
GreenTech_00666_Ltd,77,Medium
GreenTech_00667_Ltd,57,High
GreenTech_00668_Ltd,77,Medium
GreenTech_00669_Ltd,85,Low
GreenTech_00670_Ltd,75,Medium
GreenTech_00671_Ltd,57,High
GreenTech_00672_Ltd,77,Medium
GreenTech_00673_Ltd,77,Medium
GreenTech_00674_Ltd,86,Low
GreenTech_00675_Ltd,90,Low
GreenTech_00676_Ltd,85,Low
GreenTech_00677_Ltd,76,Medium
GreenTech_00678_Ltd,66,Medium
GreenTech_00679_Ltd,58,High
GreenTech_00680_Ltd,82,Low
GreenTech_00681_Ltd,69,Medium
GreenTech_00682_Ltd,62,High
GreenTech_00683_Ltd,77,Medium
GreenTech_00684_Ltd,78,Medium
GreenTech_00685_Ltd,62,High
GreenTech_00686_Ltd,84,Low
GreenTech_00687_Ltd,55,High
GreenTech_00688_Ltd,67,Medium
GreenTech_00689_Ltd,54,High
GreenTech_00690_Ltd,74,Medium
GreenTech_00691_Ltd,51,High
GreenTech_00692_Ltd,59,High
GreenTech_00693_Ltd,79,Medium
GreenTech_00694_Ltd,94,Low
GreenTech_00695_Ltd,54,High
GreenTech_00696_Ltd,82,Low
GreenTech_00697_Ltd,50,High
GreenTech_00698_Ltd,67,Medium
GreenTech_00699_Ltd,81,Low
GreenTech_00700_Ltd,60,High
GreenTech_00701_Ltd,70,Medium
GreenTech_00702_Ltd,75,Medium
GreenTech_00703_Ltd,74,Medium
GreenTech_00704_Ltd,71,Medium
GreenTech_00705_Ltd,76,Medium
GreenTech_00706_Ltd,62,High
GreenTech_00707_Ltd,82,Low
GreenTech_00708_Ltd,83,Low
GreenTech_00709_Ltd,90,Low
GreenTech_00710_Ltd,84,Low
GreenTech_00711_Ltd,50,High
GreenTech_00712_Ltd,70,Medium
GreenTech_00713_Ltd,55,High
GreenTech_00714_Ltd,77,Medium
GreenTech_00715_Ltd,66,Medium
GreenTech_00716_Ltd,54,High
GreenTech_00717_Ltd,80,Medium
GreenTech_00718_Ltd,54,High
GreenTech_00719_Ltd,87,Low
GreenTech_00720_Ltd,52,High
GreenTech_00721_Ltd,72,Medium
GreenTech_00722_Ltd,86,Low
GreenTech_00723_Ltd,86,Low
GreenTech_00724_Ltd,59,High
GreenTech_00725_Ltd,59,High
GreenTech_00726_Ltd,68,Medium
GreenTech_00727_Ltd,66,Medium
GreenTech_00728_Ltd,70,Medium
GreenTech_00729_Ltd,63,High
GreenTech_00730_Ltd,58,High
GreenTech_00731_Ltd,50,High
GreenTech_00732_Ltd,94,Low
GreenTech_00733_Ltd,62,High
GreenTech_00734_Ltd,53,High
