Project_ID,Year,CO2_Reduction_Tons
P000153,2022,1421
P000154,2021,4787
P000155,2021,2819
P000156,2019,1092
P000157,2019,2498
P000158,2018,2848
P000159,2022,692
P000160,2018,576
P000161,2022,2476
P000162,2021,1646
P000163,2019,1023
P000164,2018,2316
P000165,2018,2885
P000166,2020,2509
P000167,2020,3827
P000168,2020,4425
P000169,2024,2589
P000170,2018,3451
P000171,2022,1709
P000172,2018,2438
P000173,2021,3083
P000174,2023,3846
P000175,2020,683
P000176,2021,1225
P000177,2019,4303
P000178,2021,1516
P000179,2022,861
P000180,2018,1708
P000181,2020,619
P000182,2019,3374
P000183,2022,2725
P000184,2021,71
P000185,2023,3890
P000186,2019,409
P000187,2024,4972
P000188,2021,4596
P000189,2019,2549
P000190,2019,3584
P000191,2023,3790
P000192,2021,3053
P000193,2019,2082
P000194,2019,2238
P000195,2024,916
P000196,2018,1032
P000197,2019,4999
P000198,2024,152
P000199,2018,160
P000200,2022,638
P000201,2022,4581
P000202,2020,988
P000203,2023,403
P000204,2024,2374
P000205,2018,958
P000206,2021,3393
P000207,2020,3545
P000208,2024,3209
P000209,2019,3999
P000210,2024,3144
P000211,2022,402
P000212,2018,317
P000213,2022,364
P000214,2023,1568
P000215,2021,751
P000216,2019,2105
P000217,2023,306
P000218,2024,3475
P000219,2021,1651
P000220,2022,2150
P000221,2018,4457
P000222,2021,4556
P000223,2022,237
P000224,2019,1842
P000225,2019,393
P000226,2023,3388
P000227,2019,3764
P000228,2018,1318
P000229,2022,3125
P000230,2020,4917
P000231,2022,3651
P000232,2018,1419
P000233,2024,4492
P000234,2019,4357
P000235,2021,1589
P000236,2019,985
P000237,2024,3402
P000238,2024,922
P000239,2022,958
P000240,2018,4025
P000241,2024,587
P000242,2021,3733
P000243,2019,4993
P000244,2020,3331
P000245,2022,3863
P000246,2021,983
P000247,2020,4436
P000248,2022,4711
P000249,2019,2220
P000250,2019,3140
P000251,2022,560
P000252,2018,1443
P000253,2023,2440
P000254,2019,4269
P000255,2020,1523
P000256,2023,2846
P000257,2020,4745
P000258,2022,1675
P000259,2023,2820
P000260,2022,65
P000261,2023,2985
P000262,2018,2930
P000263,2024,847
P000264,2022,3509
P000265,2019,3197
P000266,2022,985
P000267,2021,2687
P000268,2024,4255
P000269,2021,2606
P000270,2023,3675
P000271,2023,2028
P000272,2024,2986
P000273,2020,2435
P000274,2021,1177
P000275,2024,1171
P000276,2022,107
P000277,2022,1692
P000278,2021,4719
P000279,2024,4117
P000280,2021,4746
P000281,2020,1207
P000282,2019,4142
P000283,2022,4949
P000284,2021,3874
P000285,2023,253
P000286,2020,4792
P000287,2023,4661
P000288,2020,4269
P000289,2019,2859
P000290,2019,2467
P000291,2020,3245
P000292,2018,1038
P000293,2018,4659
P000294,2020,2550
P000295,2020,3158
P000296,2018,1027
P000297,2024,242
P000298,2022,3348
P000299,2022,2017
P000300,2023,1072
P000301,2024,411
P000302,2020,3538
P000303,2019,1295
P000304,2020,1897
P000305,2019,352
P000306,2024,4619
P000307,2023,1559
P000308,2019,941
P000309,2021,4701
P000310,2020,2841
P000311,2020,4229
P000312,2024,1303
P000313,2022,4351
P000314,2020,4690
P000315,2022,1181
P000316,2024,4278
P000317,2022,1386
P000318,2021,662
P000319,2020,4833
P000320,2021,3995
P000321,2019,220
P000322,2024,2129
P000323,2020,3052
P000324,2022,1916
P000325,2022,962
P000326,2024,2624
P000327,2020,1709
P000328,2021,3301
P000329,2023,2944
P000330,2019,176
P000331,2021,1325
P000332,2023,4277
P000333,2022,3578
P000334,2023,2802
P000335,2018,3802
P000336,2022,4940
P000337,2021,2261
P000338,2022,3580
P000339,2022,4885
P000340,2022,1578
P000341,2024,4280
P000342,2024,2557
P000343,2022,768
P000344,2023,3578
P000345,2024,2506
P000346,2020,810
P000347,2021,2247
P000348,2020,2052
P000349,2020,1023
P000350,2022,290
P000351,2018,406
P000352,2018,1176
P000353,2024,3651
P000354,2020,3971
P000355,2023,2863
P000356,2019,4306
P000357,2023,1120
P000358,2022,3814
P000359,2019,3296
P000360,2018,1258
P000361,2021,4256
P000362,2021,1511
P000363,2021,4754
P000364,2018,4713
P000365,2022,4780
P000366,2022,3266
P000367,2020,4423
P000368,2020,2251
P000369,2023,4940
P000370,2020,1213
P000371,2019,1600
P000372,2023,4788
P000373,2020,4994
P000374,2022,3720
P000375,2020,211
P000376,2021,1792
P000377,2023,1071
P000378,2019,4505
P000379,2024,3338
P000380,2023,657
P000381,2018,1534
P000382,2021,869
P000383,2023,4777
P000384,2020,622
P000385,2022,972
P000386,2020,3114
P000387,2021,2306
P000388,2021,4217
P000389,2021,4462
P000390,2021,1488
P000391,2022,4327
P000392,2023,3840
P000393,2020,4520
P000394,2019,1991
P000395,2018,4919
P000396,2021,1181
P000397,2023,2900
P000398,2022,435
P000399,2024,674
P000400,2024,2684
P000401,2021,4006
P000402,2018,113
P000403,2018,2548
P000404,2023,3799
P000405,2020,3720
P000406,2023,4997
P000407,2020,3559
P000408,2020,2120
P000409,2023,2770
P000410,2018,3341
P000411,2018,2887
P000412,2020,1965
P000413,2023,4101
P000414,2020,241
P000415,2023,4582
P000416,2024,1726
P000417,2024,3556
P000418,2021,2128
P000419,2019,1031
P000420,2022,2980
P000421,2023,3145
P000422,2021,3492
P000423,2019,2822
P000424,2022,2530
P000425,2019,2052
P000426,2021,3963
P000427,2021,1195
P000428,2023,2763
P000429,2018,1768
P000430,2021,2947
P000431,2022,4035
P000432,2023,3935
P000433,2018,1203
P000434,2022,4874
P000435,2018,3936
P000436,2020,1430
P000437,2021,620
P000438,2019,676
P000439,2018,2895
P000440,2018,2543
P000441,2024,4475
P000442,2022,4308
P000443,2023,502
P000444,2019,4802
P000445,2021,1652
P000446,2020,627
P000447,2023,1869
P000448,2023,4544
P000449,2018,2247
P000450,2020,4337
P000451,2018,1342
P000452,2024,212
P000453,2020,1282
P000454,2018,1819
P000455,2022,1136
P000456,2020,2164
P000457,2019,2980
P000458,2024,3592
P000459,2021,2583
P000460,2024,605
P000461,2024,1734
P000462,2019,574
P000463,2021,1463
P000464,2021,4545
P000465,2018,2276
P000466,2019,3637
P000467,2018,1931
P000468,2018,4957
P000469,2023,857
P000470,2019,1204
P000471,2023,2556
P000472,2022,532
P000473,2019,4559
P000474,2023,4510
P000475,2021,4806
P000476,2018,1204
P000477,2020,1876
P000478,2019,2068
P000479,2021,4859
P000480,2018,1958
P000481,2024,3839
P000482,2024,2233
P000483,2024,1105
P000484,2023,3075
P000485,2024,2452
P000486,2018,1541
P000487,2022,3936
P000488,2023,803
P000489,2024,3861
P000490,2021,2173
P000491,2020,4614
P000492,2024,4289
P000493,2020,1118
P000494,2020,2735
P000495,2018,2363
P000496,2024,4762
P000497,2022,3612
P000498,2023,4831
P000499,2023,3902
P000500,2022,3137
P000501,2019,3863
P000502,2023,4545
P000503,2024,3248
P000504,2018,3012
P000505,2023,1868
P000506,2020,575
P000507,2022,200
P000508,2018,3204
P000509,2024,4662
P000510,2021,2499
P000511,2018,4185
P000512,2024,2263
P000513,2021,4548
P000514,2023,3600
P000515,2018,3670
P000516,2020,819
P000517,2024,55
P000518,2020,1547
P000519,2022,2813
P000520,2021,856
P000521,2018,2120
P000522,2021,2113
P000523,2022,2713
P000524,2018,2460
P000525,2020,4919
P000526,2023,4881
P000527,2021,3085
P000528,2023,3136
P000529,2019,4803
P000530,2018,1573
P000531,2019,3703
P000532,2018,4166
P000533,2021,3035
P000534,2022,2126
P000535,2024,2593
P000536,2022,4586
P000537,2024,684
P000538,2019,1059
P000539,2024,2090
P000540,2020,4422
P000541,2020,3216
P000542,2022,4788
P000543,2022,4779
P000544,2019,3442
P000545,2024,4265
P000546,2020,3381
P000547,2019,2656
P000548,2018,890
P000549,2021,2330
P000550,2018,1312
P000551,2020,577
P000552,2018,1766
P000553,2023,3075
P000554,2022,666
P000555,2024,2489
P000556,2020,1734
P000557,2020,4751
P000558,2018,1215
P000559,2023,2316
P000560,2018,2510
P000561,2019,3052
P000562,2018,1909
P000563,2024,3630
P000564,2021,4694
P000565,2023,3313
P000566,2020,4486
P000567,2019,4788
P000568,2021,2846
P000569,2023,2472
P000570,2019,3700
P000571,2021,1964
P000572,2021,3973
P000573,2020,4718
P000574,2018,3799
P000575,2021,731
P000576,2021,3777
P000577,2023,2250
P000578,2022,1660
P000579,2018,4149
P000580,2024,999
P000581,2018,3865
P000582,2019,4090
P000583,2023,1856
P000584,2024,4430
P000585,2020,4128
P000586,2024,580
P000587,2021,2062
P000588,2023,3731
P000589,2020,2032
P000590,2020,3152
P000591,2018,3604
P000592,2021,4709
P000593,2023,219
P000594,2024,3353
P000595,2024,1210
P000596,2018,4829
P000597,2021,3830
P000598,2023,2999
P000599,2021,1243
P000600,2022,423
P000601,2023,2212
P000602,2024,883
P000603,2023,1322
P000604,2020,1362
P000605,2020,1766
P000606,2018,2168
P000607,2018,1999
P000608,2019,3776
P000609,2018,4080
P000610,2021,1130
P000611,2020,2289
P000612,2024,3760
P000613,2019,2622
P000614,2023,4823
P000615,2024,1594
P000616,2024,1088
P000617,2024,2329
P000618,2019,3464
P000619,2019,2875
P000620,2020,3716
P000621,2021,2667
P000622,2022,3943
P000623,2023,1416
P000624,2023,2633
P000625,2023,2809
P000626,2018,957
P000627,2023,2457
P000628,2020,1281
P000629,2020,2081
P000630,2020,3929
P000631,2024,2682
P000632,2021,1406
P000633,2021,1911
P000634,2021,1355
P000635,2019,3472
P000636,2022,1969
P000637,2021,2413
P000638,2021,2263
P000639,2024,3877
P000640,2018,825
P000641,2018,4141
P000642,2024,3104
P000643,2020,3386
P000644,2023,855
P000645,2020,839
P000646,2024,2664
P000647,2023,337
P000648,2022,615
P000649,2018,4199
P000650,2024,3099
P000651,2024,3524
P000652,2019,4451
P000653,2019,76
P000654,2024,3446
P000655,2021,3637
P000656,2020,4480
P000657,2019,4386
P000658,2018,2170
P000659,2018,1983
P000660,2018,1866
P000661,2022,3487
P000662,2022,1817
P000663,2020,596
P000664,2024,567
P000665,2018,2058
P000666,2024,3501
P000667,2018,3928
P000668,2021,343
P000669,2021,565
P000670,2024,1376
P000671,2021,4987
P000672,2019,2673
P000673,2022,4631
P000674,2024,1849
P000675,2024,585
P000676,2022,4570
P000677,2020,2496
P000678,2024,3684
P000679,2021,2732
P000680,2018,3807
P000681,2021,4403
P000682,2021,4468
P000683,2020,4809
P000684,2020,2561
P000685,2020,4415
P000686,2021,1015
P000687,2023,2853
P000688,2018,1726
P000689,2018,1972
P000690,2024,1154
P000691,2021,4598
P000692,2019,2306
P000693,2023,4190
P000694,2021,3166
P000695,2018,4275
P000696,2023,778
P000697,2020,3925
P000698,2019,1671
P000699,2019,1780
P000700,2023,2097
P000701,2020,2108
P000702,2019,706
P000703,2023,1981
P000704,2020,933
P000705,2019,249
P000706,2021,3369
P000707,2024,3763
P000708,2021,2318
P000709,2023,68
P000710,2024,3392
P000711,2019,763
P000712,2020,118
P000713,2021,1390
P000714,2022,3088
P000715,2023,756
P000716,2020,4612
P000717,2019,993
P000718,2018,661
P000719,2019,4855
P000720,2021,1942
P000721,2024,3560
P000722,2019,3384
P000723,2023,4454
P000724,2022,1005
P000725,2020,2077
P000726,2024,4912
P000727,2019,1769
P000728,2019,502
P000729,2022,3165
P000730,2021,1760
P000731,2018,1621
P000732,2018,728
P000733,2024,1774
P000734,2023,1214
P000735,2024,4641
P000736,2022,3404
P000737,2019,612
P000738,2018,2368
P000739,2018,3276
P000740,2018,1293
P000741,2022,4777
P000742,2024,307
P000743,2024,2444
P000744,2021,4499
P000745,2024,3566
P000746,2020,3143
P000747,2024,758
P000748,2024,3440
P000749,2019,219
P000750,2023,2223
P000751,2018,4427
P000752,2023,261
P000753,2019,2546
P000754,2022,402
P000755,2022,4363
P000756,2023,3462
P000757,2019,1919
P000758,2021,316
P000759,2021,4669
P000760,2021,646
P000761,2022,1877
P000762,2021,65
P000763,2018,3780
P000764,2023,670
P000765,2019,602
P000766,2022,2436
P000767,2023,4199
P000768,2022,1236
P000769,2022,487
P000770,2022,1720
P000771,2023,145
P000772,2020,1557
P000773,2024,3915
P000774,2023,2319
P000775,2022,4038
P000776,2022,284
P000777,2024,316
P000778,2023,2676
P000779,2021,628
P000780,2024,4310
P000781,2018,1315
P000782,2019,2835
P000783,2023,267
P000784,2021,4079
P000785,2023,3287
P000786,2020,1102
P000787,2023,1754
P000788,2020,3053
P000789,2024,2930
P000790,2020,3950
P000791,2024,4964
P000792,2024,126
P000793,2022,4084
P000794,2023,978
P000795,2018,2392
P000796,2019,2852
P000797,2021,3995
P000798,2024,3107
P000799,2024,4906
P000800,2023,264
P000801,2021,149
P000802,2018,3012
P000803,2024,538
P000804,2020,2992
P000805,2020,2902
P000806,2020,2356
P000807,2023,1271
P000808,2022,367
P000809,2024,4763
P000810,2020,2860
P000811,2018,2350
P000812,2019,3418
P000813,2018,4430
P000814,2021,1532
P000815,2018,4195
P000816,2023,3214
P000817,2018,4461
P000818,2023,3026
P000819,2022,4196
P000820,2018,263
P000821,2021,2309
P000822,2020,3514
P000823,2023,2529
P000824,2020,2975
P000825,2019,1070
P000826,2020,1044
P000827,2021,3838
P000828,2022,1740
P000829,2020,1701
P000830,2024,2332
P000831,2019,2829
P000832,2018,1515
P000833,2021,905
P000834,2020,2949
P000835,2018,2830
P000836,2022,2560
P000837,2019,3125
P000838,2019,65
P000839,2019,4587
P000840,2019,441
P000841,2024,3736
P000842,2024,4464
P000843,2023,3461
P000844,2020,1987
P000845,2018,3907
P000846,2024,933
P000847,2020,2918
P000848,2018,4921
P000849,2024,4529
P000850,2022,1903
P000851,2018,4915
P000852,2020,2001
P000853,2018,2390
P000854,2021,1906
P000855,2021,587
P000856,2024,4197
P000857,2023,668
P000858,2024,1587
P000859,2022,552
P000860,2022,810
P000861,2021,3979
P000862,2021,549
P000863,2020,257
P000864,2018,2823
P000865,2019,2915
P000866,2023,588
P000867,2022,1472
P000868,2024,3947
P000869,2020,1114
P000870,2020,185
P000871,2020,666
P000872,2020,1074
P000873,2022,4088
P000874,2024,1546
P000875,2022,433
P000876,2018,3572
P000877,2021,3931
P000878,2023,2411
P000879,2023,3539
P000880,2019,936
P000881,2021,3386
P000882,2020,4104
P000883,2020,1534
P000884,2021,2923
P000885,2019,1905
P000886,2021,4984
P000887,2023,1602
P000888,2020,546
P000889,2021,375
P000890,2021,566
P000891,2024,2094
P000892,2023,4786
P000893,2022,832
P000894,2022,4908
P000895,2024,1351
P000896,2019,128
P000897,2019,4213
P000898,2020,2290
P000899,2019,987
P000900,2022,51
P000901,2021,3660
P000902,2021,1510
P000903,2019,4009
P000904,2024,2261
P000905,2024,2244
P000906,2022,2569
P000907,2020,988
P000908,2020,3078
P000909,2024,612
P000910,2021,4940
P000911,2020,3863
P000912,2018,3036
P000913,2019,1031
P000914,2018,1686
P000915,2021,1392
P000916,2022,866
P000917,2024,2747
P000918,2021,82
P000919,2019,748
P000920,2019,1893
P000921,2022,316
P000922,2021,1835
P000923,2018,4204
P000924,2018,1782
P000925,2022,2038
P000926,2019,743
P000927,2023,3431
P000928,2020,3449
P000929,2022,1138
P000930,2024,492
P000931,2023,2251
P000932,2020,4772
P000933,2023,1186
P000934,2020,4567
P000935,2024,4285
P000936,2022,1552
P000937,2024,2637
P000938,2019,4713
P000939,2023,3754
P000940,2021,503
P000941,2024,2383
P000942,2021,3262
P000943,2018,3034
P000944,2021,2286
P000945,2021,1083
P000946,2022,4081
P000947,2020,363
P000948,2018,2732
P000949,2021,2088
P000950,2021,210
P000951,2019,3256
P000952,2019,2609
P000953,2022,4079
P000954,2024,2328
P000955,2023,1429
P000956,2024,626
P000957,2023,2533
P000958,2023,1951
P000959,2018,254
P000960,2020,2925
P000961,2021,2658
P000962,2019,4707
P000963,2024,3543
P000964,2018,4249
P000965,2024,2487
P000966,2018,3941
P000967,2021,1638
P000968,2023,4788
P000969,2018,3533
P000970,2023,65
P000971,2019,2115
P000972,2022,2094
P000973,2019,3705
P000974,2019,4059
P000975,2018,1057
P000976,2021,387
P000977,2021,757
P000978,2022,306
P000979,2021,4294
P000980,2022,803
P000981,2018,2080
P000982,2021,4915
P000983,2024,415
P000984,2020,2148
P000985,2024,4404
P000986,2022,3005
P000987,2021,1755
P000988,2024,2659
P000989,2024,3138
P000990,2020,2917
P000991,2020,397
P000992,2019,2387
P000993,2019,3675
P000994,2022,3927
P000995,2018,4806
P000996,2018,4954
P000997,2024,1435
P000998,2023,1151
P000999,2024,2432
P001000,2021,2309
P001001,2022,1491
P001002,2023,4774
P001003,2019,1336
P001004,2020,2600
P001005,2018,3456
P001006,2018,2088
P001007,2021,3128
P001008,2024,557
P001009,2021,4900
P001010,2020,245
P001011,2018,2362
P001012,2018,4849
P001013,2022,3295
P001014,2022,2057
P001015,2019,3799
P001016,2024,3237
P001017,2023,4925
P001018,2023,952
P001019,2018,2718
P001020,2020,3360
P001021,2023,1419
P001022,2020,4469
P001023,2023,440
P001024,2018,451
P001025,2022,447
P001026,2021,4202
P001027,2024,618
P001028,2022,584
P001029,2022,538
P001030,2019,3634
P001031,2021,1067
P001032,2021,2805
P001033,2022,1897
P001034,2020,4127
P001035,2023,3262
P001036,2019,4621
P001037,2020,2825
P001038,2021,4416
P001039,2020,1038
P001040,2019,2351
P001041,2024,2188
P001042,2022,576
P001043,2019,2338
P001044,2023,328
P001045,2019,3766
P001046,2021,2262
P001047,2019,2456
P001048,2019,357
P001049,2024,450
P001050,2018,1134
P001051,2024,1696
P001052,2019,1918
P001053,2021,889
P001054,2020,3025
P001055,2020,3461
P001056,2018,2916
P001057,2023,4812
P001058,2019,854
P001059,2023,3740
P001060,2023,4275
P001061,2024,4942
P001062,2021,2094
P001063,2021,4767
P001064,2024,3827
P001065,2020,4286
P001066,2022,3193
P001067,2019,1210
P001068,2020,1763
P001069,2022,314
P001070,2018,1139
P001071,2020,4528
P001072,2022,399
P001073,2022,4898
P001074,2018,1807
P001075,2019,1790
P001076,2020,182
P001077,2021,432
P001078,2021,268
P001079,2023,670
P001080,2018,790
P001081,2020,4263
P001082,2018,4226
P001083,2018,3463
P001084,2018,4363
P001085,2024,2748
P001086,2018,2178
P001087,2023,1355
P001088,2024,64
P001089,2021,2703
P001090,2021,3223
P001091,2024,3961
P001092,2018,591
P001093,2021,4316
P001094,2019,1470
P001095,2024,2380
P001096,2021,226
P001097,2021,803
P001098,2023,4301
P001099,2020,2518
P001100,2022,476
P001101,2019,781
P001102,2018,135
P001103,2020,2290
P001104,2023,225
P001105,2022,4487
P001106,2019,4113
P001107,2021,1820
P001108,2021,1573
P001109,2024,4500
P001110,2023,699
P001111,2020,4130
P001112,2020,1956
P001113,2019,1000
P001114,2023,2437
P001115,2020,782
P001116,2022,4444
P001117,2019,2574
P001118,2020,541
P001119,2024,1989
P001120,2020,1564
P001121,2018,2551
P001122,2023,3027
P001123,2021,2292
P001124,2022,2538
P001125,2021,3153
P001126,2024,4881
P001127,2022,3150
P001128,2021,3572
P001129,2023,2190
P001130,2022,3932
P001131,2023,4913
P001132,2022,4929
P001133,2023,347
P001134,2019,1522
P001135,2021,1932
P001136,2022,1147
P001137,2022,3314
P001138,2021,4003
P001139,2024,3315
P001140,2024,4942
P001141,2024,2776
P001142,2020,1964
P001143,2019,1068
P001144,2022,2462
P001145,2022,4162
P001146,2018,2173
P001147,2019,606
P001148,2022,1559
P001149,2021,1724
P001150,2022,1720
P001151,2022,955
P001152,2019,1793
P001153,2018,4667
P001154,2021,1951
P001155,2019,2256
P001156,2020,4598
P001157,2019,438
P001158,2022,1362
P001159,2023,1837
P001160,2019,4848
P001161,2024,1036
P001162,2022,337
P001163,2022,4693
P001164,2021,1437
P001165,2024,3470
P001166,2022,1645
P001167,2021,4623
P001168,2022,4315
P001169,2024,114
P001170,2021,1878
P001171,2021,2284
P001172,2022,1442
P001173,2022,2510
P001174,2019,1215
P001175,2021,2248
P001176,2024,3804
P001177,2018,184
P001178,2018,3751
P001179,2022,4879
P001180,2024,3330
P001181,2018,3117
P001182,2023,1841
P001183,2018,1361
P001184,2021,4255
P001185,2019,1950
P001186,2022,4094
P001187,2020,2496
P001188,2024,1787
P001189,2020,4097
P001190,2018,1328
P001191,2020,3313
P001192,2024,920
P001193,2023,2885
P001194,2022,2412
P001195,2023,576
P001196,2019,2393
P001197,2020,4742
P001198,2021,3055
P001199,2018,2752
P001200,2020,1470
P001201,2019,4512
P001202,2021,2400
P001203,2018,2663
P001204,2020,63
P001205,2023,3233
P001206,2023,1715
P001207,2021,1490
P001208,2022,1383
P001209,2018,1026
P001210,2023,426
P001211,2018,4185
P001212,2019,2357
P001213,2023,314
P001214,2024,2689
P001215,2021,2091
P001216,2022,1024
P001217,2024,395
P001218,2021,2383
P001219,2019,4683
P001220,2022,427
P001221,2022,888
P001222,2023,4739
P001223,2021,849
P001224,2021,4387
P001225,2022,3185
P001226,2024,449
P001227,2018,4331
P001228,2021,3666
P001229,2018,253
P001230,2021,3062
P001231,2021,1465
P001232,2019,1936
P001233,2019,2474
P001234,2021,1893
P001235,2018,1332
P001236,2019,2111
P001237,2018,4177
P001238,2022,3280
P001239,2018,4934
P001240,2023,1552
P001241,2021,332
P001242,2023,3502
P001243,2023,4012
P001244,2018,2135
P001245,2020,4931
P001246,2023,720
P001247,2023,646
P001248,2023,949
P001249,2024,4129
P001250,2022,802
P001251,2019,545
P001252,2024,4312
P001253,2020,792
P001254,2024,2885
P001255,2021,3764
P001256,2024,186
P001257,2024,1097
P001258,2019,469
P001259,2022,1430
P001260,2019,256
P001261,2024,1042
P001262,2020,3705
P001263,2019,2266
P001264,2021,3668
P001265,2024,2641
P001266,2021,3944
P001267,2023,3016
P001268,2018,398
P001269,2022,3943
P001270,2024,3389
P001271,2019,2634
P001272,2018,2072
P001273,2020,2609
P001274,2020,1710
P001275,2023,3816
P001276,2019,1386
P001277,2022,871
P001278,2020,3037
P001279,2021,1743
P001280,2024,490
P001281,2022,4839
P001282,2023,747
P001283,2024,75
P001284,2018,988
P001285,2019,1518
P001286,2019,2785
P001287,2024,3954
P001288,2024,3182
P001289,2021,1392
P001290,2024,4250
P001291,2018,1402
P001292,2021,2624
P001293,2024,3719
P001294,2023,1771
P001295,2024,3851
P001296,2021,1804
P001297,2019,1012
P001298,2019,1574
P001299,2020,1940
P001300,2020,352
P001301,2019,3883
P001302,2021,2553
P001303,2024,3957
P001304,2023,1053
P001305,2021,4823
P001306,2023,3088
P001307,2022,3861
P001308,2021,3175
P001309,2020,4625
P001310,2022,2539
P001311,2024,4471
P001312,2018,4175
P001313,2024,4375
P001314,2021,277
P001315,2024,3789
P001316,2019,1770
P001317,2021,814
P001318,2018,1044
P001319,2021,1323
P001320,2021,1776
P001321,2021,2884
P001322,2021,2270
P001323,2018,3274
P001324,2018,2089
P001325,2023,3937
P001326,2019,1459
P001327,2018,1028
P001328,2019,3573
P001329,2018,1466
P001330,2023,246
P001331,2022,4785
P001332,2023,2365
P001333,2024,3973
P001334,2023,4765
P001335,2022,2768
P001336,2019,3733
P001337,2022,775
P001338,2022,1127
P001339,2019,3844
P001340,2021,2060
P001341,2019,109
P001342,2024,4906
P001343,2022,4952
P001344,2022,4211
P001345,2019,1004
P001346,2024,3839
P001347,2022,3532
P001348,2019,406
P001349,2024,2789
P001350,2024,1224
P001351,2022,3511
P001352,2020,1152
P001353,2024,2988
P001354,2020,1515
P001355,2019,2380
P001356,2018,1084
P001357,2019,1979
P001358,2022,1470
P001359,2019,3225
P001360,2018,607
P001361,2020,3283
P001362,2024,3672
P001363,2024,580
P001364,2020,2028
P001365,2021,4806
P001366,2019,522
P001367,2022,759
P001368,2023,4749
P001369,2022,4131
P001370,2019,2782
P001371,2019,3935
P001372,2018,1112
P001373,2023,1619
P001374,2018,1963
P001375,2018,2344
P001376,2023,3487
P001377,2019,3040
P001378,2019,1343
P001379,2019,1953
P001380,2020,455
P001381,2022,815
P001382,2023,2209
P001383,2021,945
P001384,2020,1658
P001385,2023,2710
P001386,2018,2630
P001387,2023,4693
P001388,2023,306
P001389,2023,1083
P001390,2020,65
P001391,2021,4227
P001392,2022,838
P001393,2023,1976
P001394,2020,3765
P001395,2019,2575
P001396,2022,752
P001397,2019,2955
P001398,2023,3425
P001399,2021,3683
P001400,2018,871
P001401,2021,4700
P001402,2021,3852
P001403,2022,902
P001404,2023,3947
P001405,2022,4683
P001406,2019,372
P001407,2024,1347
P001408,2020,2271
P001409,2023,4397
P001410,2018,4636
P001411,2023,523
P001412,2023,2960
P001413,2020,187
P001414,2019,735
P001415,2023,3112
P001416,2020,136
P001417,2019,4361
P001418,2019,4807
P001419,2023,1844
P001420,2023,1531
P001421,2021,3531
P001422,2019,1528
P001423,2019,1300
P001424,2019,3258
