Project_ID,ROI_Percentage
P000201,15.76
P000202,16.93
P000203,12.16
P000204,16.64
P000205,7.51
P000206,16.9
P000207,11.06
P000208,14.3
P000209,8.97
P000210,10.08
P000211,4.31
P000212,15.46
P000213,7.35
P000214,4.96
P000215,13.44
P000216,5.8
P000217,9.67
P000218,14.69
P000219,11.21
P000220,10.97
P000221,12.5
P000222,4.4
P000223,7.02
P000224,10.95
P000225,11.92
P000226,12.52
P000227,4.48
P000228,7.23
P000229,4.79
P000230,16.08
P000231,11.76
P000232,14.95
P000233,9.23
P000234,10.2
P000235,6.96
P000236,11.32
P000237,17.96
P000238,9.88
P000239,6.48
P000240,15.94
P000241,15.98
P000242,5.91
P000243,12.42
P000244,10.97
P000245,8.54
P000246,13.69
P000247,13.0
P000248,17.87
P000249,8.07
P000250,14.66
P000251,8.61
P000252,11.54
P000253,10.21
P000254,5.51
P000255,15.4
P000256,4.13
P000257,15.26
P000258,13.56
P000259,7.38
P000260,17.34
P000261,16.54
P000262,12.12
P000263,6.68
P000264,10.21
P000265,12.76
P000266,4.95
P000267,8.88
P000268,15.46
P000269,8.59
P000270,10.32
P000271,14.29
P000272,4.15
P000273,11.7
P000274,13.17
P000275,8.77
P000276,10.43
P000277,5.33
P000278,11.4
P000279,10.52
P000280,6.24
P000281,7.1
P000282,6.0
P000283,12.63
P000284,16.53
P000285,15.02
P000286,8.72
P000287,9.45
P000288,15.11
P000289,13.11
P000290,12.8
P000291,17.2
P000292,11.9
P000293,15.43
P000294,7.64
P000295,16.66
P000296,14.42
P000297,16.37
P000298,7.43
P000299,9.83
P000300,16.92
P000301,5.43
P000302,12.25
P000303,6.19
P000304,10.59
P000305,8.13
P000306,11.67
P000307,7.81
P000308,5.66
P000309,14.48
P000310,17.26
P000311,15.64
P000312,17.26
P000313,17.15
P000314,10.73
P000315,7.26
P000316,16.11
P000317,13.89
P000318,10.74
P000319,6.07
P000320,6.45
P000321,5.64
P000322,6.02
P000323,13.95
P000324,8.92
P000325,5.29
P000326,7.77
P000327,12.61
P000328,7.03
P000329,5.41
P000330,5.3
P000331,14.19
P000332,10.6
P000333,8.39
P000334,5.2
P000335,5.69
P000336,12.92
P000337,9.34
P000338,7.14
P000339,14.16
P000340,6.43
P000341,12.34
P000342,9.28
P000343,11.69
P000344,10.55
P000345,10.78
P000346,11.32
P000347,8.82
P000348,5.3
P000349,7.33
P000350,17.89
P000351,7.04
P000352,5.74
P000353,17.86
P000354,14.94
P000355,7.88
P000356,12.71
P000357,6.8
P000358,16.13
P000359,11.13
P000360,6.09
P000361,13.14
P000362,12.43
P000363,15.5
P000364,10.31
P000365,11.8
P000366,15.68
P000367,7.26
P000368,14.1
P000369,12.0
P000370,11.17
P000371,14.43
P000372,13.49
P000373,4.1
P000374,17.68
P000375,10.11
P000376,8.41
P000377,8.26
P000378,14.89
P000379,4.98
P000380,9.89
P000381,6.5
P000382,7.32
P000383,9.56
P000384,14.46
P000385,16.64
P000386,9.9
P000387,10.43
P000388,7.45
P000389,6.4
P000390,11.78
P000391,7.36
P000392,5.62
P000393,14.45
P000394,16.36
P000395,5.6
P000396,13.29
P000397,16.78
P000398,11.61
P000399,9.67
P000400,10.18
P000401,8.13
P000402,11.0
P000403,6.47
P000404,12.69
P000405,5.55
P000406,11.3
P000407,5.89
P000408,4.52
P000409,6.18
P000410,17.93
P000411,15.28
P000412,13.25
P000413,15.52
P000414,11.55
P000415,12.64
P000416,6.65
P000417,4.72
P000418,4.51
P000419,17.57
P000420,7.72
P000421,6.02
P000422,10.83
P000423,14.36
P000424,17.01
P000425,11.05
P000426,16.43
P000427,8.15
P000428,12.39
P000429,17.11
P000430,12.55
P000431,14.07
P000432,17.33
P000433,10.09
P000434,8.29
P000435,12.93
P000436,10.22
P000437,13.24
P000438,13.69
P000439,8.68
P000440,12.04
P000441,12.18
P000442,9.07
P000443,11.16
P000444,4.97
P000445,9.32
P000446,6.21
P000447,4.2
P000448,4.75
P000449,11.64
P000450,9.61
P000451,6.1
P000452,12.88
P000453,17.19
P000454,5.29
P000455,15.11
P000456,14.11
P000457,15.55
P000458,6.02
P000459,11.83
P000460,11.57
P000461,11.23
P000462,7.04
P000463,13.21
P000464,4.88
P000465,6.07
P000466,10.53
P000467,13.5
P000468,12.56
P000469,9.35
P000470,7.94
P000471,12.68
P000472,17.35
P000473,14.49
P000474,6.24
P000475,6.51
P000476,17.52
P000477,8.28
P000478,14.61
P000479,14.71
P000480,5.89
P000481,10.32
P000482,12.6
P000483,12.78
P000484,15.81
P000485,10.76
P000486,16.15
P000487,16.12
P000488,5.55
P000489,10.79
P000490,11.98
P000491,13.09
P000492,5.66
P000493,14.7
P000494,6.55
P000495,5.59
P000496,6.44
P000497,5.59
P000498,12.3
P000499,14.67
P000500,11.77
P000501,13.22
P000502,11.03
P000503,6.23
P000504,16.74
P000505,16.86
P000506,9.8
P000507,9.18
P000508,11.16
P000509,5.21
P000510,8.32
P000511,16.33
P000512,16.2
P000513,6.2
P000514,9.52
P000515,11.36
P000516,5.53
P000517,12.48
P000518,9.13
P000519,16.39
P000520,9.57
P000521,4.19
P000522,5.71
P000523,8.07
P000524,8.53
P000525,16.9
P000526,17.68
P000527,13.64
P000528,7.46
P000529,5.16
P000530,8.87
P000531,17.88
P000532,17.29
P000533,9.05
P000534,14.25
P000535,13.98
P000536,15.02
P000537,11.74
P000538,13.48
P000539,14.69
P000540,10.96
P000541,11.13
P000542,17.04
P000543,17.05
P000544,9.86
P000545,5.5
P000546,12.44
P000547,11.5
P000548,6.9
P000549,15.1
P000550,16.1
P000551,14.41
P000552,11.33
P000553,7.85
P000554,6.55
P000555,11.45
P000556,17.06
P000557,14.35
P000558,14.2
P000559,13.65
P000560,6.62
P000561,14.85
P000562,16.03
P000563,11.19
P000564,12.49
P000565,4.2
P000566,6.33
P000567,6.39
P000568,5.74
P000569,10.68
P000570,13.56
P000571,11.64
P000572,4.88
P000573,16.8
P000574,12.02
P000575,7.53
P000576,12.34
P000577,4.32
P000578,14.11
P000579,4.1
P000580,11.97
P000581,16.59
P000582,11.75
P000583,7.2
P000584,17.61
P000585,6.88
P000586,14.71
P000587,10.73
P000588,10.01
P000589,12.15
P000590,13.83
P000591,10.21
P000592,5.09
P000593,4.32
P000594,17.24
P000595,8.52
P000596,16.38
P000597,14.2
P000598,14.31
P000599,5.45
P000600,8.49
P000601,11.34
P000602,7.97
P000603,17.51
P000604,16.9
P000605,6.31
P000606,12.74
P000607,4.49
P000608,4.42
P000609,9.54
P000610,11.01
P000611,7.93
P000612,16.18
P000613,12.46
P000614,8.77
P000615,17.52
P000616,14.05
P000617,9.46
P000618,11.13
P000619,16.97
P000620,9.77
P000621,7.45
P000622,16.05
P000623,8.0
P000624,11.17
P000625,15.9
P000626,7.69
P000627,12.76
P000628,16.21
P000629,16.71
P000630,17.39
P000631,15.01
P000632,4.08
P000633,8.84
P000634,6.01
P000635,10.98
P000636,12.6
P000637,4.44
P000638,11.14
P000639,9.72
P000640,17.11
P000641,14.88
P000642,13.89
P000643,8.6
P000644,10.21
P000645,8.6
P000646,13.6
P000647,15.78
P000648,9.73
P000649,7.09
P000650,5.77
P000651,15.33
P000652,11.95
P000653,9.66
P000654,15.33
P000655,15.13
P000656,10.28
P000657,9.2
P000658,5.92
P000659,15.4
P000660,11.81
P000661,7.18
P000662,10.66
P000663,4.25
P000664,17.88
P000665,13.43
P000666,10.35
P000667,5.54
P000668,14.09
P000669,16.21
P000670,14.86
P000671,10.03
P000672,4.7
P000673,15.47
P000674,13.62
P000675,14.71
P000676,11.34
P000677,15.21
P000678,17.38
P000679,17.4
P000680,6.98
P000681,5.09
P000682,13.71
P000683,7.13
P000684,17.17
P000685,4.1
P000686,6.42
P000687,10.5
P000688,13.79
P000689,5.95
P000690,13.38
P000691,4.59
P000692,10.47
P000693,8.51
P000694,15.43
P000695,4.94
P000696,16.05
P000697,8.7
P000698,5.27
P000699,15.77
P000700,17.44
P000701,11.46
P000702,17.12
P000703,14.87
P000704,17.09
P000705,17.31
P000706,7.91
P000707,9.77
P000708,12.04
P000709,8.93
P000710,6.13
P000711,11.74
P000712,17.38
P000713,14.87
P000714,10.31
P000715,5.44
P000716,10.23
P000717,8.79
P000718,17.6
P000719,14.94
P000720,5.16
P000721,14.0
P000722,11.0
P000723,8.23
P000724,5.33
P000725,10.49
P000726,13.38
P000727,9.03
P000728,15.67
P000729,14.56
P000730,7.78
P000731,12.5
P000732,9.3
P000733,14.2
P000734,16.44
P000735,11.49
P000736,11.67
P000737,13.11
P000738,15.34
P000739,9.78
P000740,16.47
P000741,17.87
P000742,11.06
P000743,17.36
P000744,5.81
P000745,15.86
P000746,13.79
P000747,17.28
P000748,5.87
P000749,5.9
P000750,10.09
P000751,15.61
P000752,7.61
P000753,8.93
P000754,5.52
P000755,11.89
P000756,10.79
P000757,5.86
P000758,10.81
P000759,9.46
P000760,5.68
P000761,6.68
P000762,5.03
P000763,8.29
P000764,17.79
P000765,9.57
P000766,13.14
P000767,17.82
P000768,8.4
P000769,9.28
P000770,8.06
P000771,10.07
P000772,12.34
P000773,7.44
P000774,9.06
P000775,14.6
P000776,7.68
P000777,15.85
P000778,6.58
P000779,7.63
P000780,6.47
P000781,14.46
P000782,7.72
P000783,13.08
P000784,9.98
P000785,7.19
P000786,6.66
P000787,9.39
P000788,17.06
P000789,8.0
P000790,5.56
P000791,9.37
P000792,8.01
P000793,10.85
P000794,8.35
P000795,4.75
P000796,17.44
P000797,5.16
P000798,17.32
P000799,14.78
P000800,13.8
P000801,12.69
P000802,15.59
P000803,17.21
P000804,8.35
P000805,9.81
P000806,10.66
P000807,17.18
P000808,8.85
P000809,8.65
P000810,7.53
P000811,16.98
P000812,16.48
P000813,6.15
P000814,10.82
P000815,11.32
P000816,4.38
P000817,7.5
P000818,17.32
P000819,17.89
P000820,17.16
P000821,17.27
P000822,4.36
P000823,16.42
P000824,9.03
P000825,10.41
P000826,16.61
P000827,16.53
P000828,11.11
P000829,12.6
P000830,13.46
P000831,7.45
P000832,4.22
P000833,9.33
P000834,10.82
P000835,9.58
P000836,9.72
P000837,15.09
P000838,17.9
P000839,9.86
P000840,7.34
P000841,12.38
P000842,16.51
P000843,5.28
P000844,11.02
P000845,15.01
P000846,16.07
P000847,10.64
P000848,17.18
P000849,6.94
P000850,6.84
P000851,4.0
P000852,8.74
P000853,12.48
P000854,10.88
P000855,10.02
P000856,16.39
P000857,10.33
P000858,12.32
P000859,6.79
P000860,12.32
P000861,5.17
P000862,17.55
P000863,17.18
P000864,11.93
P000865,13.37
P000866,7.12
P000867,14.35
P000868,9.95
P000869,4.03
P000870,13.85
P000871,5.8
P000872,15.45
P000873,10.73
P000874,13.08
P000875,4.16
P000876,10.42
P000877,14.99
P000878,7.19
P000879,7.52
P000880,11.42
P000881,12.74
P000882,9.04
P000883,7.0
P000884,6.82
P000885,7.58
P000886,15.15
P000887,16.14
P000888,16.5
P000889,14.88
P000890,5.14
P000891,11.66
P000892,5.28
P000893,4.24
P000894,14.64
P000895,17.68
P000896,16.28
P000897,17.63
P000898,12.59
P000899,17.92
P000900,16.03
P000901,11.73
P000902,12.05
P000903,16.58
P000904,13.28
P000905,10.37
P000906,5.18
P000907,7.5
P000908,17.16
P000909,8.69
P000910,15.75
P000911,5.14
P000912,13.9
P000913,11.53
P000914,5.55
P000915,13.63
P000916,7.95
P000917,8.46
P000918,5.16
P000919,16.77
P000920,15.25
P000921,9.41
P000922,15.51
P000923,5.43
P000924,5.18
P000925,11.53
P000926,12.06
P000927,10.68
P000928,15.03
P000929,9.94
P000930,6.67
P000931,12.41
P000932,8.39
P000933,12.63
P000934,7.1
P000935,7.26
P000936,7.02
P000937,14.16
P000938,11.77
P000939,11.92
P000940,8.34
P000941,13.08
P000942,9.29
P000943,12.75
P000944,10.15
P000945,8.19
P000946,17.44
P000947,5.41
P000948,4.31
P000949,16.6
P000950,14.89
P000951,13.6
P000952,16.47
P000953,6.38
P000954,12.16
P000955,12.01
P000956,11.58
P000957,10.54
P000958,5.79
P000959,9.63
P000960,11.6
P000961,15.35
P000962,13.7
P000963,17.07
P000964,5.62
P000965,17.95
P000966,6.31
P000967,8.72
P000968,17.44
P000969,9.52
P000970,16.05
P000971,17.03
P000972,13.8
P000973,13.16
P000974,11.46
P000975,9.49
P000976,6.3
P000977,16.96
P000978,7.12
P000979,10.19
P000980,15.6
P000981,4.32
P000982,5.32
P000983,13.17
P000984,12.46
P000985,5.02
P000986,6.8
P000987,17.66
P000988,11.96
P000989,11.58
P000990,17.32
P000991,17.98
P000992,5.54
P000993,13.21
P000994,15.74
P000995,9.62
P000996,12.15
P000997,14.3
P000998,11.08
P000999,6.47
P001000,11.28
P001001,10.64
P001002,14.17
P001003,17.94
P001004,6.54
P001005,9.92
P001006,7.02
P001007,8.75
P001008,17.24
P001009,15.17
P001010,8.39
P001011,7.2
P001012,16.52
P001013,15.54
P001014,11.96
P001015,12.74
P001016,6.83
P001017,5.05
P001018,16.85
P001019,7.61
P001020,6.87
P001021,5.49
P001022,16.17
P001023,17.44
P001024,11.94
P001025,7.24
P001026,15.98
P001027,7.68
P001028,13.47
P001029,7.72
P001030,15.32
P001031,8.02
P001032,8.05
P001033,17.81
P001034,13.98
P001035,13.61
P001036,12.39
P001037,11.19
P001038,12.14
P001039,12.62
P001040,6.33
P001041,9.34
P001042,8.04
P001043,13.9
P001044,15.23
P001045,5.09
P001046,16.07
P001047,15.8
P001048,11.78
P001049,10.65
P001050,15.07
P001051,11.3
P001052,10.75
P001053,17.66
P001054,16.99
P001055,15.22
P001056,15.32
P001057,7.23
P001058,9.11
P001059,14.98
P001060,11.34
P001061,4.14
P001062,5.98
P001063,10.19
P001064,4.99
P001065,12.16
P001066,4.72
P001067,17.86
P001068,15.19
P001069,14.47
P001070,16.92
P001071,13.62
P001072,15.64
P001073,6.1
P001074,8.07
P001075,11.16
P001076,12.28
P001077,8.26
P001078,10.45
P001079,14.32
P001080,16.38
P001081,7.6
P001082,8.64
P001083,5.78
P001084,9.78
P001085,15.08
P001086,11.22
P001087,12.81
P001088,7.28
P001089,10.34
P001090,12.58
P001091,8.89
P001092,14.59
P001093,16.37
P001094,4.79
P001095,6.47
P001096,15.82
P001097,5.21
P001098,14.07
P001099,10.26
P001100,8.11
P001101,9.38
P001102,11.57
P001103,15.56
P001104,6.43
P001105,11.69
P001106,5.76
P001107,17.24
P001108,8.39
P001109,14.12
P001110,15.65
P001111,6.08
P001112,12.79
P001113,4.85
P001114,16.98
P001115,12.77
P001116,7.7
P001117,14.24
P001118,14.76
P001119,9.1
P001120,10.95
P001121,14.57
P001122,14.54
P001123,12.05
P001124,8.81
P001125,5.7
P001126,4.61
P001127,6.02
P001128,12.63
P001129,15.3
P001130,17.28
P001131,7.07
P001132,15.2
P001133,6.37
P001134,15.78
P001135,13.08
P001136,9.04
P001137,13.18
P001138,4.5
P001139,5.38
P001140,14.62
P001141,7.02
P001142,15.89
P001143,14.98
P001144,9.08
P001145,4.69
P001146,5.23
P001147,9.22
P001148,4.07
P001149,13.37
P001150,13.88
P001151,5.78
P001152,13.97
P001153,13.93
P001154,10.77
P001155,4.16
P001156,12.02
P001157,9.74
P001158,4.5
P001159,14.97
P001160,5.99
P001161,9.63
P001162,10.53
P001163,14.55
P001164,11.76
P001165,11.47
P001166,13.81
P001167,11.55
P001168,13.85
P001169,13.38
P001170,5.78
P001171,16.87
P001172,12.89
P001173,5.78
P001174,8.71
P001175,15.73
P001176,12.2
P001177,13.92
P001178,4.1
P001179,4.65
P001180,12.94
P001181,4.22
P001182,10.76
P001183,14.01
P001184,13.21
P001185,8.97
P001186,11.76
P001187,9.5
P001188,5.66
P001189,8.36
P001190,4.88
P001191,12.11
P001192,13.04
P001193,12.69
P001194,10.37
P001195,17.77
P001196,6.88
P001197,9.05
P001198,11.61
P001199,10.33
P001200,14.97
P001201,13.13
P001202,6.83
P001203,6.43
P001204,15.84
P001205,5.85
P001206,16.56
P001207,12.09
P001208,5.94
P001209,9.4
P001210,10.9
P001211,6.76
P001212,17.06
P001213,14.79
P001214,4.06
P001215,5.92
P001216,10.49
P001217,8.52
P001218,4.07
P001219,15.26
P001220,15.53
P001221,7.15
P001222,16.43
P001223,15.85
P001224,8.46
P001225,9.51
P001226,11.49
P001227,12.86
P001228,17.48
P001229,15.25
P001230,11.11
P001231,9.27
P001232,16.72
P001233,8.66
P001234,16.88
P001235,7.91
P001236,7.57
P001237,12.77
P001238,4.62
P001239,6.28
P001240,13.35
P001241,12.34
P001242,16.93
P001243,14.71
P001244,15.46
P001245,16.99
P001246,10.49
P001247,14.95
P001248,11.09
P001249,9.13
P001250,17.08
P001251,5.55
P001252,8.09
P001253,14.6
P001254,9.34
P001255,11.86
P001256,4.12
P001257,13.61
P001258,8.82
P001259,10.27
P001260,16.33
P001261,17.96
P001262,8.61
P001263,17.78
P001264,11.24
P001265,8.83
P001266,5.82
P001267,6.34
P001268,7.07
P001269,14.67
P001270,16.84
P001271,16.72
P001272,10.85
P001273,8.21
P001274,12.25
P001275,10.12
P001276,15.81
P001277,6.94
P001278,4.93
P001279,17.48
P001280,4.57
P001281,17.35
P001282,8.3
P001283,15.86
P001284,4.55
P001285,17.57
P001286,11.83
P001287,8.85
P001288,15.0
P001289,6.89
P001290,9.22
P001291,9.72
P001292,8.9
P001293,11.28
P001294,5.95
P001295,6.55
P001296,14.92
P001297,12.88
P001298,6.11
P001299,4.07
P001300,9.78
P001301,14.23
P001302,7.39
P001303,17.11
P001304,15.23
P001305,15.09
P001306,4.48
P001307,15.9
P001308,14.62
P001309,10.13
P001310,9.55
P001311,9.73
P001312,4.29
P001313,11.82
P001314,16.05
P001315,17.18
P001316,13.71
P001317,6.11
P001318,13.58
P001319,7.48
P001320,16.27
P001321,11.98
P001322,17.99
P001323,4.11
P001324,10.78
P001325,14.6
P001326,4.93
P001327,10.09
P001328,12.26
P001329,14.44
P001330,10.2
P001331,7.94
P001332,8.47
P001333,5.23
P001334,9.3
P001335,13.54
P001336,5.65
P001337,7.17
P001338,17.26
P001339,5.62
P001340,4.62
P001341,7.75
P001342,13.58
P001343,12.68
P001344,4.01
P001345,6.63
P001346,11.6
P001347,13.22
P001348,16.61
P001349,6.03
P001350,7.76
P001351,12.98
P001352,13.23
P001353,9.36
P001354,16.03
P001355,10.03
P001356,8.27
P001357,10.08
P001358,12.3
P001359,12.99
P001360,17.61
P001361,11.27
P001362,11.31
P001363,6.86
P001364,17.61
P001365,9.92
P001366,8.28
P001367,8.04
P001368,11.02
P001369,11.77
P001370,11.19
P001371,9.44
P001372,10.24
P001373,11.12
P001374,8.85
P001375,17.04
P001376,15.48
P001377,11.56
P001378,8.86
P001379,14.78
P001380,17.67
P001381,5.55
P001382,9.92
P001383,13.61
P001384,13.0
P001385,4.57
P001386,13.06
P001387,6.09
P001388,9.87
P001389,13.91
P001390,14.11
P001391,10.93
P001392,5.96
P001393,11.18
P001394,16.4
P001395,4.46
P001396,6.72
P001397,16.87
P001398,4.45
P001399,11.98
P001400,6.98
P001401,14.05
P001402,8.87
P001403,11.95
P001404,12.56
P001405,6.21
P001406,10.46
P001407,11.13
P001408,7.63
P001409,17.87
P001410,5.56
P001411,6.54
P001412,16.59
P001413,6.01
P001414,5.62
P001415,13.21
P001416,12.73
P001417,10.21
P001418,12.68
P001419,10.85
P001420,9.38
P001421,15.72
P001422,16.2
P001423,14.87
P001424,15.61
P001425,13.54
P001426,13.16
P001427,4.88
P001428,12.53
P001429,16.77
P001430,12.83
P001431,12.38
P001432,17.5
P001433,17.72
P001434,13.69
P001435,11.61
P001436,5.18
P001437,12.28
P001438,13.06
P001439,15.12
P001440,13.65
P001441,14.91
P001442,7.92
P001443,8.1
P001444,4.37
P001445,4.15
P001446,16.08
P001447,7.01
P001448,11.61
P001449,15.69
P001450,13.68
P001451,17.99
P001452,9.51
P001453,7.05
P001454,10.77
P001455,5.64
P001456,6.46
P001457,7.46
P001458,11.66
P001459,9.93
P001460,14.11
P001461,11.69
P001462,4.59
P001463,14.05
P001464,8.16
P001465,14.66
P001466,5.91
P001467,17.31
P001468,7.4
P001469,10.37
P001470,4.51
P001471,7.56
P001472,13.74
P001473,4.11
P001474,4.63
P001475,15.24
P001476,9.64
P001477,7.06
P001478,10.78
P001479,11.15
P001480,12.04
P001481,17.67
P001482,11.3
P001483,8.37
P001484,17.79
P001485,12.26
P001486,16.44
P001487,13.93
P001488,4.06
P001489,4.61
P001490,12.69
P001491,13.82
P001492,9.73
P001493,12.36
P001494,4.21
P001495,5.8
P001496,7.08
P001497,6.83
P001498,17.92
P001499,13.16
P001500,7.21
P001501,9.8
P001502,8.43
P001503,14.67
P001504,11.67
P001505,17.0
P001506,14.7
P001507,6.52
P001508,7.71
P001509,12.69
P001510,12.96
P001511,8.3
P001512,15.92
P001513,9.6
P001514,8.29
P001515,10.27
P001516,16.93
P001517,9.26
P001518,10.42
P001519,14.26
P001520,11.39
P001521,8.88
P001522,9.15
P001523,8.82
P001524,8.51
P001525,14.73
P001526,12.75
P001527,14.59
P001528,6.91
P001529,5.49
P001530,12.51
P001531,5.97
P001532,4.65
P001533,11.27
P001534,14.63
P001535,15.27
P001536,4.21
P001537,5.67
P001538,15.97
P001539,16.27
P001540,6.85
P001541,7.29
P001542,14.68
P001543,9.08
P001544,9.45
P001545,15.22
P001546,15.99
P001547,16.82
P001548,12.36
P001549,10.85
P001550,7.76
P001551,6.79
P001552,9.92
P001553,4.99
P001554,6.27
P001555,8.49
P001556,6.32
P001557,14.85
P001558,17.86
P001559,6.32
P001560,6.31
P001561,7.34
P001562,6.33
P001563,10.18
P001564,17.15
P001565,8.99
P001566,5.96
P001567,5.18
P001568,15.08
P001569,13.73
P001570,4.54
P001571,12.98
P001572,12.01
P001573,17.27
P001574,9.68
P001575,15.04
P001576,13.08
P001577,7.91
P001578,10.29
P001579,11.3
P001580,8.1
P001581,17.81
P001582,9.53
P001583,12.97
P001584,10.24
P001585,13.76
P001586,17.32
P001587,12.48
P001588,16.74
P001589,5.51
P001590,7.84
P001591,6.3
P001592,15.14
P001593,4.48
P001594,5.12
P001595,14.22
P001596,17.25
P001597,9.02
P001598,4.63
P001599,8.32
P001600,6.96
P001601,5.03
P001602,17.92
P001603,4.63
P001604,17.41
P001605,14.62
P001606,8.94
P001607,13.31
P001608,7.15
P001609,11.67
P001610,12.27
P001611,15.46
P001612,9.63
P001613,10.9
P001614,10.95
P001615,16.61
P001616,17.18
P001617,8.41
P001618,16.7
P001619,17.27
P001620,6.15
P001621,7.5
P001622,15.11
P001623,9.71
P001624,17.29
P001625,8.73
P001626,14.0
P001627,11.62
P001628,13.5
P001629,5.71
P001630,17.13
P001631,6.19
P001632,10.94
P001633,13.76
P001634,16.51
P001635,9.4
P001636,5.29
P001637,12.52
P001638,17.63
P001639,17.01
P001640,9.82
P001641,11.2
P001642,5.47
P001643,6.26
P001644,6.26
P001645,11.97
P001646,10.0
P001647,12.53
P001648,9.64
P001649,6.62
P001650,7.8
P001651,10.18
P001652,4.0
P001653,17.6
P001654,6.35
P001655,10.02
P001656,10.67
P001657,5.36
P001658,8.57
P001659,5.96
P001660,8.37
P001661,13.93
P001662,13.34
P001663,16.05
P001664,7.54
P001665,8.46
P001666,8.33
P001667,11.15
P001668,16.71
P001669,14.79
P001670,10.59
P001671,15.68
P001672,16.97
P001673,9.2
P001674,10.75
P001675,7.51
P001676,16.11
P001677,13.13
P001678,6.31
P001679,8.68
P001680,7.38
P001681,16.31
P001682,16.7
P001683,13.1
P001684,17.3
P001685,15.22
P001686,15.28
P001687,8.26
P001688,13.81
P001689,11.91
P001690,14.48
P001691,4.34
P001692,17.22
P001693,6.5
P001694,8.92
P001695,13.59
P001696,9.22
P001697,14.27
P001698,4.72
P001699,8.66
P001700,12.0
P001701,8.72
P001702,9.42
P001703,10.09
P001704,12.08
P001705,12.42
P001706,17.5
P001707,4.94
P001708,5.73
P001709,11.62
P001710,13.14
P001711,17.95
P001712,10.17
P001713,4.44
P001714,12.79
P001715,9.64
P001716,14.25
P001717,11.35
P001718,10.47
P001719,10.49
P001720,13.15
P001721,15.02
P001722,4.67
P001723,10.42
P001724,11.02
P001725,16.33
P001726,11.02
P001727,4.65
P001728,12.88
P001729,11.3
P001730,17.91
P001731,11.01
P001732,15.8
P001733,10.46
P001734,7.79
P001735,11.54
P001736,16.13
P001737,15.2
P001738,11.56
P001739,9.16
P001740,16.69
P001741,12.22
P001742,5.83
P001743,15.81
P001744,14.7
P001745,16.81
P001746,13.52
